1;11
2;2
3;4
4;17
5;3
6;15
7;
8;17
9;7
10;12
11;16
12;16
13;5
14;1
15;8
16;15
17;2
18;19
19;2
20;6
21;2
22;
23;7
24;12
25;12
26;12
27;8
28;6
29;18
30;3
31;18
32;16
33;18
34;3
35;17
36;20
37;5
38;6
39;3
40;7
41;11
42;19
43;16
44;12
45;20
46;17
47;13
48;2
49;12
50;13
51;15
52;18
53;1
54;14
55;
56;6
57;7
58;7
59;2
60;18
61;4
62;5
63;17
64;16
65;19
66;16
67;19
68;16
69;3
70;15
71;6
72;2
73;11
74;1
75;16
76;18
77;1
78;10
79;16
80;2
81;11
82;4
83;19
84;5
85;9
86;17
87;9
88;14
89;20
90;13
91;14
92;15
93;2
94;17
95;6
96;5
97;13
98;
99;3
100;1
