1;9
2;2
3;14
4;5
5;14
6;11
7;6
8;18
9;8
10;13
11;14
12;2
13;6
14;4
15;6
16;12
17;14
18;7
19;11
20;8
21;12
22;9
23;8
24;6
25;16
26;6
27;20
28;12
29;8
30;3
31;8
32;9
33;7
34;18
35;14
36;4
37;10
38;5
39;10
40;16
41;3
42;18
43;9
44;1
45;9
46;10
47;1
48;1
49;3
50;14
51;9
52;5
53;9
54;13
55;1
56;1
57;19
58;13
59;8
60;6
61;4
62;12
63;11
64;19
65;20
66;12
67;12
68;13
69;19
70;17
71;13
72;3
73;17
74;13
75;5
76;7
77;10
78;2
79;18
80;17
81;9
82;5
83;18
84;3
85;14
86;13
87;7
88;3
89;5
90;20
91;5
92;19
93;14
94;14
95;16
96;17
97;12
98;1
99;15
100;15
