1;17
2;2
3;13
4;8
5;16
6;19
7;15
8;3
9;4
10;12
11;13
12;15
13;20
14;12
15;5
16;8
17;2
18;4
19;9
20;2
21;18
22;12
23;8
24;6
25;6
26;8
27;9
28;5
29;6
30;16
31;14
32;12
33;17
34;19
35;3
36;11
37;14
38;10
39;6
40;6
41;16
42;14
43;8
44;7
45;15
46;8
47;16
48;20
49;18
50;11
51;3
52;18
53;2
54;17
55;5
56;12
57;17
58;3
59;12
60;17
61;8
62;3
63;4
64;17
65;19
66;17
67;16
68;7
69;9
70;1
71;17
72;14
73;2
74;6
75;20
76;6
77;3
78;19
79;6
80;15
81;3
82;17
83;16
84;12
85;8
86;8
87;20
88;9
89;12
90;17
91;4
92;19
93;12
94;2
95;18
96;4
97;11
98;15
99;11
100;12
