1;18
2;
3;4
4;16
5;9
6;14
7;9
8;13
9;3
10;5
11;8
12;15
13;13
14;9
15;
16;14
17;20
18;12
19;20
20;7
21;16
22;20
23;3
24;7
25;6
26;10
27;16
28;10
29;5
30;8
31;7
32;3
33;20
34;8
35;
36;4
37;16
38;7
39;6
40;18
41;1
42;20
43;18
44;
45;3
46;14
47;16
48;14
49;16
50;5
51;4
52;6
53;14
54;6
55;5
56;1
57;5
58;19
59;5
60;15
61;7
62;4
63;14
64;20
65;14
66;14
67;13
68;17
69;5
70;20
71;16
72;4
73;10
74;3
75;14
76;6
77;13
78;18
79;20
80;14
81;
82;6
83;20
84;14
85;10
86;6
87;8
88;8
89;4
90;17
91;7
92;12
93;3
94;
95;7
96;15
97;16
98;8
99;4
100;2
